aircraft_type,manufacturer,seats,range_km,category
A319,Airbus,134,6800,narrow_body
A320,Airbus,150,6100,narrow_body
A321,Airbus,185,7400,narrow_body
B737,Boeing,160,5600,narrow_body
B737-800,Boeing,174,5665,narrow_body
B737-900,Boeing,178,5990,narrow_body
A220,Airbus,130,6300,narrow_body
E190,Embraer,100,4500,narrow_body
SSJ100,Sukhoi,98,3000,narrow_body
MC-21,Irkut,165,6400,narrow_body
CRJ900,Bombardier,90,2800,narrow_body
ATR72,ATR,72,1500,turboprop
Dash8-Q400,De Havilland,78,2000,turboprop
Tu-204,Tupolev,210,6500,wide_body
Il-62,Ilyushin,168,10000,wide_body
Il-76,Ilyushin,140,5000,wide_body
A330,Airbus,250,13450,wide_body
A350,Airbus,300,15000,wide_body
B767,Boeing,255,9600,wide_body
B777,Boeing,396,15600,wide_body
B787,Boeing,290,14140,wide_body
A380,Airbus,525,15700,wide_body
Tu-214,Tupolev,210,6500,wide_body
Yak-42,Yakovlev,120,2200,narrow_body
An-24,Antonov,50,1800,turboprop
An-148,Antonov,85,4400,narrow_body
An-158,Antonov,99,4500,narrow_body
Tu-134,Tupolev,76,3100,narrow_body
Tu-154,Tupolev,180,6600,narrow_body
Il-86,Ilyushin,350,5000,wide_body
ля-21-300,Irkut,165,6400,narrow_body
L-410,Let,19,1400,turboprop
Cessna208,Cessna,9,1200,light_aircraft
Beech1900,Beechcraft,19,1600,turboprop
PA-46,Piper,6,2000,light_aircraft
A321neo,Airbus,190,7400,narrow_body
A320neo,Airbus,165,6300,narrow_body
B737-MAX8,Boeing,178,6570,narrow_body
B737-MAX9,Boeing,193,6570,narrow_body
Il-114,Ilyushin,64,1900,turboprop
Yak-40,Yakovlev,32,1800,narrow_body
Tu-334,Tupolev,102,3100,narrow_body
CRJ200,Bombardier,50,3040,narrow_body
CRJ700,Bombardier,70,2800,narrow_body
ERJ145,Embraer,50,2870,narrow_body
MD-82,McDonnell Douglas,155,3800,narrow_body
